code,name
220581,吉林省通化市梅河口市
220582,吉林省通化市集安市
220600,吉林省白山市
220601,吉林省白山市市辖区
220602,吉林省白山市八道江区
220621,吉林省白山市抚松县
220622,吉林省白山市靖宇县
220623,吉林省白山市长白朝鲜族自治县
220625,吉林省白山市江源县
220681,吉林省白山市临江市
220700,吉林省松原市
220701,吉林省松原市市辖区
220702,吉林省松原市宁江区
220721,吉林省松原市前郭尔罗斯蒙古族自治县
220722,吉林省松原市长岭县
220723,吉林省松原市乾安县
220724,吉林省松原市扶余县
220800,吉林省白城市
220801,吉林省白城市市辖区
220802,吉林省白城市洮北区
220821,吉林省白城市镇赉县
220822,吉林省白城市通榆县
220881,吉林省白城市洮南市
220882,吉林省白城市大安市
222400,吉林省延边朝鲜族自治州
222401,吉林省延边朝鲜族自治州延吉市
222402,吉林省延边朝鲜族自治州图们市
222403,吉林省延边朝鲜族自治州敦化市
222404,吉林省延边朝鲜族自治州珲春市
222405,吉林省延边朝鲜族自治州龙井市
222406,吉林省延边朝鲜族自治州和龙市
222424,吉林省延边朝鲜族自治州汪清县
222426,吉林省延边朝鲜族自治州安图县
230000,黑龙江省
230100,黑龙江省哈尔滨市
230101,黑龙江省哈尔滨市市辖区
230102,黑龙江省哈尔滨市道里区
230103,黑龙江省哈尔滨市南岗区
230104,黑龙江省哈尔滨市道外区
230105,黑龙江省哈尔滨市太平区
230106,黑龙江省哈尔滨市香坊区
230107,黑龙江省哈尔滨市动力区
230108,黑龙江省哈尔滨市平房区
230121,黑龙江省哈尔滨市呼兰县
230123,黑龙江省哈尔滨市依兰县
230124,黑龙江省哈尔滨市方正县
230125,黑龙江省哈尔滨市宾县
230126,黑龙江省哈尔滨市巴彦县
230127,黑龙江省哈尔滨市木兰县
230128,黑龙江省哈尔滨市通河县
230129,黑龙江省哈尔滨市延寿县
230181,黑龙江省哈尔滨市阿城市
230182,黑龙江省哈尔滨市双城市
230183,黑龙江省哈尔滨市尚志市
230184,黑龙江省哈尔滨市五常市
230200,黑龙江省齐齐哈尔市
230201,黑龙江省齐齐哈尔市市辖区
230202,黑龙江省齐齐哈尔市龙沙区
230203,黑龙江省齐齐哈尔市建华区
230204,黑龙江省齐齐哈尔市铁锋区
230205,黑龙江省齐齐哈尔市昂昂溪区
230206,黑龙江省齐齐哈尔市富拉尔基区
230207,黑龙江省齐齐哈尔市碾子山区
230208,黑龙江省齐齐哈尔市梅里斯达斡尔族区
230221,黑龙江省齐齐哈尔市龙江县
230223,黑龙江省齐齐哈尔市依安县
230224,黑龙江省齐齐哈尔市泰来县
230225,黑龙江省齐齐哈尔市甘南县
230227,黑龙江省齐齐哈尔市富裕县
230229,黑龙江省齐齐哈尔市克山县
230230,黑龙江省齐齐哈尔市克东县
230231,黑龙江省齐齐哈尔市拜泉县
230281,黑龙江省齐齐哈尔市讷河市
230300,黑龙江省鸡西市
230301,黑龙江省鸡西市市辖区
230302,黑龙江省鸡西市鸡冠区
230303,黑龙江省鸡西市恒山区
230304,黑龙江省鸡西市滴道区
230305,黑龙江省鸡西市梨树区
230306,黑龙江省鸡西市城子河区
230307,黑龙江省鸡西市麻山区
230321,黑龙江省鸡西市鸡东县
230381,黑龙江省鸡西市虎林市
230382,黑龙江省鸡西市密山市
230400,黑龙江省鹤岗市
230401,黑龙江省鹤岗市市辖区
230402,黑龙江省鹤岗市向阳区
230403,黑龙江省鹤岗市工农区
230404,黑龙江省鹤岗市南山区
230405,黑龙江省鹤岗市兴安区
230406,黑龙江省鹤岗市东山区
230407,黑龙江省鹤岗市兴山区
230421,黑龙江省鹤岗市萝北县
230422,黑龙江省鹤岗市绥滨县
230500,黑龙江省双鸭山市
230501,黑龙江省双鸭山市市辖区
230502,黑龙江省双鸭山市尖山区
230503,黑龙江省双鸭山市岭东区
230505,黑龙江省双鸭山市四方台区
230506,黑龙江省双鸭山市宝山区
230521,黑龙江省双鸭山市集贤县
230522,黑龙江省双鸭山市友谊县
230523,黑龙江省双鸭山市宝清县
230524,黑龙江省双鸭山市饶河县
230600,黑龙江省大庆市
230601,黑龙江省大庆市市辖区
230602,黑龙江省大庆市萨尔图区
230603,黑龙江省大庆市龙凤区
230604,黑龙江省大庆市让胡路区
230605,黑龙江省大庆市红岗区
230606,黑龙江省大庆市大同区
230621,黑龙江省大庆市肇州县
230622,黑龙江省大庆市肇源县
230623,黑龙江省大庆市林甸县
230624,黑龙江省大庆市杜尔伯特蒙古族自治县
230700,黑龙江省伊春市
230701,黑龙江省伊春市市辖区
230702,黑龙江省伊春市伊春区
230703,黑龙江省伊春市南岔区
230704,黑龙江省伊春市友好区
230705,黑龙江省伊春市西林区
230706,黑龙江省伊春市翠峦区
230707,黑龙江省伊春市新青区
230708,黑龙江省伊春市美溪区
230709,黑龙江省伊春市金山屯区
230710,黑龙江省伊春市五营区
230711,黑龙江省伊春市乌马河区
230712,黑龙江省伊春市汤旺河区
230713,黑龙江省伊春市带岭区
230714,黑龙江省伊春市乌伊岭区
230715,黑龙江省伊春市红星区
230716,黑龙江省伊春市上甘岭区
230722,黑龙江省伊春市嘉荫县
230781,黑龙江省伊春市铁力市
230800,黑龙江省佳木斯市
230801,黑龙江省佳木斯市市辖区
230802,黑龙江省佳木斯市永红区
230803,黑龙江省佳木斯市向阳区
230804,黑龙江省佳木斯市前进区
230805,黑龙江省佳木斯市东风区
230811,黑龙江省佳木斯市郊区
230822,黑龙江省佳木斯市桦南县
230826,黑龙江省佳木斯市桦川县
230828,黑龙江省佳木斯市汤原县
230833,黑龙江省佳木斯市抚远县
230881,黑龙江省佳木斯市同江市
230882,黑龙江省佳木斯市富锦市
230900,黑龙江省七台河市
230901,黑龙江省七台河市市辖区
230902,黑龙江省七台河市新兴区
230903,黑龙江省七台河市桃山区
